postcode,northing,easting
SE25 4QB,167704,534602
SE25 5NT,167760,534547
SE25 5QA,167396,533064
SE25 6BY,168874,533596
SE26 4TH,171843,536409
SE26 5QW,171484,535413
SE26 6JQ,171946,534729
SE27 0DF,172119,531758
SE27 9AW,172713,531737
SE28 0NY,179842,545162
SE28 8BE,180635,546499
SE3 0EN,176417,540754
SE3 7HB,177398,540361
SE3 9RT,175640,539688
SE4 1JN,174943,537383
SE4 2LA,175055,536191
SE4 2NH,176239,536192
SE4 2PJ,174483,536404
SE5 0BB,177338,532073
SE5 7AF,176796,532506
SE5 7AQ,176932,532560
SE5 7RF,176805,533152
SE5 8HL,175565,532814
SE5 8JU,175907,533258
SE5 9NS,176242,532362
SE6 1AT,173646,538550
SE6 1RB,173128,538955
SE6 2SP,172013,538225
SE6 3JB,172004,537445
SE6 4JH,174122,537820
SE7 8TX,178077,541673
SE8 3QH,178642,536504
SE8 4BG,177101,536809
SE8 5DA,177719,536857
SE9 1JE,174872,543297
SE9 1XY,175483,543056
SE9 2BD,173067,544230
SE9 3AZ,172112,543089
SE9 3JD,172353,543235
SE9 3PT,172651,544276
SE9 5DQ,174329,542804
SE9 6ER,174852,542491
SE9 6JX,175228,542084
SM1 2DB,163659,525263
SM1 2RJ,164205,525614
SM1 4AF,164285,525959
SM1 4EB,164614,526079
SM1 4NG,164267,527020
SM2 6LX,163687,525686
SM3 8BS,163638,524194
SM3 8EP,164768,523663
SM3 9EY,166807,524653
SM3 9HE,166639,524468
SM3 9HH,166544,524459
SM4 5RT,168133,526087
SM4 6BH,167101,526695
SM4 6RS,167182,526079
SM5 1JF,166644,527178
SM5 2RE,165219,527379
SM5 2RT,165562,526960
SM5 3LS,163396,527607
SM5 3RB,163725,527424
SM6 0DE,164167,528871
SM6 0HY,163644,528848
SM6 7HF,166232,528429
SM6 8AW,164336,528826
SM6 8BL,164512,529033
SM6 9BY,163691,530350
SW10 0LR,177540,526609
SW10 0UD,177273,526150
SW10 9DT,177922,525851
SW10 9EW,177670,526125
SW11 1HG,175139,527683
SW11 1JD,175501,527647
SW11 1SW,175015,526578
SW11 2EJ,175692,526944
SW11 2NU,175615,527165
SW11 2PH,176027,527150
SW11 3AD,176613,527371
SW11 3UJ,175666,526373
SW11 5JP,176581,528245
SW11 5QW,175735,528480
SW11 5TG,175571,527806
SW11 5TU,175730,528130
SW11 6BF,174612,527362
SW12 8EU,173188,528279
SW12 8NB,173869,527974
SW12 8TT,174259,528281
